x,y,z,class,sound_path
-6.43E+00,4.67E-01,7.69E-02,anthrophony,
-6.72E+00,-9.40E-01,-7.82E-01,anthrophony,
-7.85E+00,-2.38E+00,-1.21E+00,anthrophony,
-9.51E+00,-1.76E+00,-7.55E-01,anthrophony,
-7.64E+00,-2.66E+00,-1.58E+00,anthrophony,
-5.82E+00,8.94E-01,-2.59E-02,anthrophony,
-8.76E+00,4.43E+00,3.36E+00,anthrophony,
-1.02E+01,3.64E+00,2.44E+00,anthrophony,
-1.02E+01,3.63E+00,2.34E+00,anthrophony,
-1.50E+01,1.28E+00,1.44E+00,anthrophony,
-6.71E+00,-1.13E-01,-5.15E-01,anthrophony,
-8.25E+00,-6.39E+00,2.07E+00,anthrophony,
-6.54E+00,2.78E-01,8.70E-01,anthrophony,
-1.41E+01,-4.55E+00,1.24E+01,anthrophony,
-1.42E+01,-4.66E+00,1.22E+01,anthrophony,
-4.43E+00,1.06E+01,4.00E+00,anthrophony,
-6.62E+00,3.49E-01,-4.34E-01,anthrophony,
-7.19E+00,-4.80E-01,2.67E+00,anthrophony,
-9.60E+00,3.22E+00,-2.73E-01,anthrophony,
-1.04E+01,2.72E+00,-4.58E-01,anthrophony,
-7.96E+00,-4.26E+00,-1.49E-01,anthrophony,
-4.95E+00,-3.59E+00,-6.62E-02,anthrophony,
-9.92E+00,3.89E+00,1.74E+00,anthrophony,
-7.40E+00,4.86E+00,2.47E+00,anthrophony,
-7.84E+00,4.00E-01,-1.36E+00,anthrophony,
-8.09E+00,1.25E+00,-1.20E+00,anthrophony,
-1.00E+01,2.41E+00,-1.66E-01,anthrophony,
-9.64E+00,-4.71E+00,3.11E+00,anthrophony,
-6.77E+00,-4.50E+00,-1.65E+01,anthrophony,
-8.98E+00,-5.59E+00,2.70E+00,anthrophony,
-7.84E+00,-4.16E+00,4.23E-02,anthrophony,
-6.84E+00,-7.62E+00,1.58E+00,anthrophony,
-4.48E+00,-2.85E+00,-1.14E-01,anthrophony,
-6.95E+00,-1.52E+00,6.98E-01,anthrophony,
