x,y,z,sound_path,class
9.42E+00,6.00E+00,4.70E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T020000+1000_REC_5262.518_5267.018.wav,unlabelled
8.99E+00,5.70E+00,4.40E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T040000+1000_REC_2691.858_2696.358.wav,unlabelled
8.89E+00,5.45E+00,3.99E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T040000+1000_REC_2698.102_2702.602.wav,unlabelled
8.87E+00,6.94E+00,4.42E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T040000+1000_REC_3287.095_3291.595.wav,unlabelled
8.54E+00,7.02E+00,5.38E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T040000+1000_REC_3909.482_3913.982.wav,unlabelled
7.42E+00,5.38E+00,1.07E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T060000+1000_REC_4294.464_4298.964.wav,unlabelled
7.25E+00,5.55E+00,1.18E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T060000+1000_REC_5299.722_5304.222.wav,unlabelled
8.45E+00,6.40E+00,3.35E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T060000+1000_REC_6886.913_6891.413.wav,unlabelled
7.80E+00,5.63E+00,7.86E-01,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T060000+1000_REC_924.676_929.176.wav,unlabelled
6.96E+00,6.85E+00,5.83E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T080000+1000_REC_3595.194_3599.694.wav,unlabelled
7.98E+00,4.95E+00,4.66E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T080000+1000_REC_4855.617_4860.117.wav,unlabelled
6.24E+00,6.93E+00,3.40E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T080000+1000_REC_5066.658_5071.158.wav,unlabelled
6.50E+00,6.65E+00,2.81E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T080000+1000_REC_929.366_933.866.wav,unlabelled
6.35E+00,6.20E+00,3.63E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T100000+1000_REC_3059.81_3064.31.wav,unlabelled
7.39E+00,6.24E+00,1.58E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T100000+1000_REC_6467.06_6471.56.wav,unlabelled
8.03E+00,4.15E+00,7.38E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T100000+1000_REC_6966.02_6970.52.wav,unlabelled
8.01E+00,5.33E+00,3.28E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T100000+1000_REC_7139.245_7143.745.wav,unlabelled
5.53E+00,1.04E+01,6.30E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T120000+1000_REC_1960.907_1965.407.wav,unlabelled
8.19E+00,4.28E+00,7.28E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T120000+1000_REC_3437.66_3442.16.wav,unlabelled
7.39E+00,6.27E+00,1.63E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T120000+1000_REC_3675.259_3679.759.wav,unlabelled
8.21E+00,4.32E+00,7.23E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T120000+1000_REC_4133.177_4137.677.wav,unlabelled
7.51E+00,5.28E+00,9.58E-01,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T140000+1000_REC_5618.555_5623.055.wav,unlabelled
7.10E+00,6.81E+00,5.83E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T140000+1000_REC_6707.231_6711.731.wav,unlabelled
8.24E+00,5.27E+00,2.21E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T140000+1000_REC_6943.223_6947.723.wav,unlabelled
7.93E+00,4.11E+00,7.56E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T140000+1000_REC_984.837_989.337.wav,unlabelled
7.17E+00,6.81E+00,5.82E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T160000+1000_REC_1168.038_1172.538.wav,unlabelled
7.96E+00,6.32E+00,5.39E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T160000+1000_REC_2064.182_2068.682.wav,unlabelled
8.75E+00,5.48E+00,3.63E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T160000+1000_REC_3123.021_3127.521.wav,unlabelled
7.57E+00,5.28E+00,9.12E-01,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T160000+1000_REC_3767.176_3771.676.wav,unlabelled
8.61E+00,5.53E+00,4.03E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T180000+1000_REC_1845.179_1849.679.wav,unlabelled
7.35E+00,5.53E+00,1.10E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T180000+1000_REC_3096.765_3101.265.wav,unlabelled
7.31E+00,6.13E+00,1.55E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T180000+1000_REC_4687.593_4692.093.wav,unlabelled
9.07E+00,6.30E+00,3.90E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T180000+1000_REC_6355.021_6359.521.wav,unlabelled
8.50E+00,6.67E+00,5.43E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T200000+1000_REC_396.673_401.173.wav,unlabelled
8.21E+00,7.82E+00,4.83E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T200000+1000_REC_4556.754_4561.254.wav,unlabelled
9.25E+00,6.44E+00,3.91E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T200000+1000_REC_6691.245_6695.745.wav,unlabelled
8.53E+00,6.71E+00,3.65E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T200000+1000_REC_6999.254_7003.754.wav,unlabelled
7.38E+00,6.29E+00,1.61E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T220000+1000_REC_2927.985_2932.485.wav,unlabelled
8.85E+00,6.50E+00,3.65E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T220000+1000_REC_4108.102_4112.602.wav,unlabelled
8.58E+00,6.61E+00,3.73E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T220000+1000_REC_5025.718_5030.218.wav,unlabelled
9.32E+00,6.41E+00,4.11E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220509T220000+1000_REC_6829.371_6833.871.wav,unlabelled
9.42E+00,6.40E+00,4.81E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T000000+1000_REC_1499.766_1504.266.wav,unlabelled
8.62E+00,8.42E+00,3.97E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T000000+1000_REC_393.652_398.152.wav,unlabelled
9.31E+00,6.34E+00,5.00E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T000000+1000_REC_4502.534_4507.034.wav,unlabelled
8.98E+00,6.44E+00,3.59E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T000000+1000_REC_5550.823_5555.323.wav,unlabelled
9.45E+00,6.31E+00,4.81E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T020000+1000_REC_3441.909_3446.409.wav,unlabelled
7.91E+00,5.92E+00,1.59E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T020000+1000_REC_4610.005_4614.505.wav,unlabelled
9.39E+00,6.27E+00,5.05E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T020000+1000_REC_5139.435_5143.935.wav,unlabelled
8.27E+00,5.21E+00,4.64E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T020000+1000_REC_728.027_732.527.wav,unlabelled
7.27E+00,6.35E+00,1.62E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T040000+1000_REC_2901.068_2905.568.wav,unlabelled
8.14E+00,5.62E+00,2.66E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T040000+1000_REC_3113.366_3117.866.wav,unlabelled
7.23E+00,5.52E+00,1.10E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T040000+1000_REC_5839.143_5843.643.wav,unlabelled
7.53E+00,6.04E+00,1.42E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T040000+1000_REC_780.328_784.828.wav,unlabelled
7.20E+00,5.57E+00,1.16E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T060000+1000_REC_1407.081_1411.581.wav,unlabelled
7.53E+00,5.29E+00,9.41E-01,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T060000+1000_REC_215.821_220.321.wav,unlabelled
7.86E+00,6.04E+00,2.27E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T060000+1000_REC_2498.129_2502.629.wav,unlabelled
7.46E+00,6.07E+00,1.99E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T060000+1000_REC_3543.878_3548.378.wav,unlabelled
7.57E+00,6.02E+00,2.01E+00,D:\PhD-data\tarcutta-unlabelled\Tarcutta_DryA_20220510T080000+1000_REC_329.144_333.644.wav,unlabelled
